Metric,Value
Number of tests,720
Number correct,477
Accuracy rate,66.25%

row_num,problem_id,image_name,question_idx,question,model_answer,ground_truth,correct
503,1425516,ef82a23b-952c-4ec5-bd90-5eaf94a09b2a.jpeg,0,Did the student correctly show that there are 5 copies of 3/4 in 15/4?,YES,NO,False
503,1425516,ef82a23b-952c-4ec5-bd90-5eaf94a09b2a.jpeg,1,Did the student correctly state the quotient is 5?,YES,YES,True
504,1425521,37a0fdce-883c-4445-83bd-6496d277f4b2.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,NO,NO,True
501,1425516,d979bdda-c349-4b2a-8701-47e9cfd93e53.jpeg,0,Did the student correctly show that there are 5 copies of 3/4 in 15/4?,YES,NO,False
501,1425516,d979bdda-c349-4b2a-8701-47e9cfd93e53.jpeg,1,Did the student correctly state the quotient is 5?,YES,YES,True
502,1425516,e5575464-86e4-4d87-9bdb-54d87d8e43ae.jpeg,0,Did the student correctly show that there are 5 copies of 3/4 in 15/4?,YES,NO,False
502,1425516,e5575464-86e4-4d87-9bdb-54d87d8e43ae.jpeg,1,Did the student correctly state the quotient is 5?,YES,NO,False
505,1425521,76bb2f09-2adf-410b-b947-fd63f3a49e95.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,NO,NO,True
506,1425521,904b67d0-855b-47bd-ab94-12ede85bb9ca.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,YES,YES,True
509,1425521,c373ab4d-fbb5-4412-9121-8bcdb085c8e1.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,YES,NO,False
510,1425521,dce9c993-0301-4747-be61-8faddd746245.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,YES,YES,True
508,1425521,ba2684ff-0b17-4bbd-a55f-cd360eaf4b59.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,YES,YES,True
512,1427205,42b49556-72f3-4315-bdc2-674f61e84d1a.jpeg,0,Did the student correctly represent the values of -8 and 12?,NO,NO,True
513,1427205,54a2faef-d1da-49be-9383-af407501d452.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,NO,False
507,1425521,94e8d078-8441-4a5c-b768-55957a49a65c.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,NO,NO,True
511,1425521,e6042b29-143c-4267-bf00-1f3c0dd42c71.jpeg,0,Did the student draw a model representing 13/5 divided by 4/5?,NO,YES,False
515,1427205,5d0ed4fe-96db-4bc3-a7c3-c3c3ae9085a5.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,NO,False
514,1427205,5977bb2d-7d59-46b2-819d-660b09ade84b.jpeg,0,Did the student correctly represent the values of -8 and 12?,NO,YES,False
516,1427205,65a38cc1-4226-4644-95ea-81bcdf6f30b6.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,YES,True
517,1427205,6f0e84d0-721b-49d6-8e85-15a4daa12556.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,YES,True
518,1427205,77845ffb-459d-4e91-9884-9e27e8902805.jpeg,0,Did the student correctly represent the values of -8 and 12?,NO,YES,False
519,1427205,987d5a41-1e77-4a4b-baab-d514459838b1.png,0,Did the student correctly represent the values of -8 and 12?,NO,NO,True
522,1427205,e607c4e4-9c8d-4e0e-a165-9112201abd51.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,YES,True
521,1427205,b9cc682d-3f10-473c-a205-de10c9453e04.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,YES,True
523,1427205,ec2a6a8c-f827-4879-a5bb-2cc9cbacd565.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,NO,False
524,1427205,f5c31db0-f109-4a3b-b8a3-f3e1d37aa4dc.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,YES,True
525,1427205,fec1d233-0627-488f-b167-3efd7822f506.jpeg,0,Did the student correctly represent the values of -8 and 12?,YES,YES,True
520,1427205,9c1cf24d-0b97-4951-94f1-0bb56e4d478d.jpeg,0,Did the student correctly represent the values of -8 and 12?,NO,NO,True
527,1427209,37140b66-ce57-4790-bccc-89f33940f565.jpeg,0,Does the student correctly show that the opposite of the opposite of a negative number is negative?,NO,NO,True
527,1427209,37140b66-ce57-4790-bccc-89f33940f565.jpeg,1,Does the student's equation match their number line model?,NO,NO,True
529,1427209,87dbf4a9-ff13-496e-afa5-9a7f20d5ffa0.jpeg,0,Does the student correctly show that the opposite of the opposite of a negative number is negative?,YES,YES,True
529,1427209,87dbf4a9-ff13-496e-afa5-9a7f20d5ffa0.jpeg,1,Does the student's equation match their number line model?,NO,NO,True
