Metric,Value
Number of tests,1646
Number correct,1141
Accuracy rate,69.32%

row_num,problem_id,image_name,question_idx,question,model_answer,ground_truth,correct
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,0,Did students label the number line correctly?,YES,YES,True
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,YES,YES,True
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,2,Is the final answer clearly marked on the number line?,YES,YES,True
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,3,Does the student label the magnitude of each arrow?,NO,NO,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,0,Did students label the number line correctly?,YES,YES,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,YES,YES,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,2,Is the final answer clearly marked on the number line?,YES,YES,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,3,Did the student label the magnitude of each arrow on the number line diagram?,NO,NO,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,4,Did the student use straight arrows or curved arrows to represent the sum of the integers on the number line diagram?,STRAIGHT ARROWS,NO,False
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,0,Did students label the number line correctly?,YES,YES,True
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,YES,YES,True
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,2,Is the final answer clearly marked on the number line?,NO,NO,True
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,3,Did the student label the magnitude of each arrow?,NO,NO,True
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,0,Did students label the number line correctly?,YES,YES,True
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,1,Did students use arrows to indicate the direction of movement on the number line?,NO,NO,True
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,2,Is the final answer clearly marked on the number line?,NO,NO,True
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,3,Did the student label the magnitude of each arrow?,NO,NO,True
5,1065658,56005c1c-8182-423a-93cd-db884a59f7b0.png,0,Did students label the number line correctly?,YES,YES,True
