Metric,Value
Number of tests,1396
Our pipeline correct,900
Our pipeline accuracy,64.47%
Claude (pre-existing) correct,908
Claude (pre-existing) accuracy,65.04%
Answer agreement,953 (68.27%)
Claude missing answers,0
Claude non-YES/NO answers,14

row_num,problem_id,image_name,question_idx,question,ground_truth,our_answer,our_correct,ref_answer,ref_correct
76,1130632,10baecbd-c964-428c-9227-d9ac862f6aed.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,YES,False,YES,False
76,1130632,10baecbd-c964-428c-9227-d9ac862f6aed.jpeg,1,Did the student correctly draw two rows in their array?,YES,YES,True,NO,False
76,1130632,10baecbd-c964-428c-9227-d9ac862f6aed.jpeg,2,Did the student draw a rectangular array?,YES,YES,True,YES,True
77,1130632,2b358d81-ef56-4a91-a29d-7ec593fe5c3f.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,YES,False,YES,False
77,1130632,2b358d81-ef56-4a91-a29d-7ec593fe5c3f.jpeg,1,Did the student correctly draw two rows in their array?,NO,YES,False,YES,False
77,1130632,2b358d81-ef56-4a91-a29d-7ec593fe5c3f.jpeg,2,Did the student draw a rectangular array?,NO,YES,False,YES,False
78,1130632,3446a6e2-f16f-4b2f-a985-918fb7b9a2c1.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,NO,True,NO,True
78,1130632,3446a6e2-f16f-4b2f-a985-918fb7b9a2c1.jpeg,1,Did the student correctly draw two rows in their array?,NO,NO,True,NO,True
78,1130632,3446a6e2-f16f-4b2f-a985-918fb7b9a2c1.jpeg,2,Did the student draw a rectangular array?,YES,YES,True,NO,False
79,1130632,388cb3b7-4b2d-4aad-80ad-218bb83a4946.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,YES,False,YES,False
79,1130632,388cb3b7-4b2d-4aad-80ad-218bb83a4946.jpeg,1,Did the student correctly draw two rows in their array?,NO,YES,False,YES,False
79,1130632,388cb3b7-4b2d-4aad-80ad-218bb83a4946.jpeg,2,Did the student draw a rectangular array?,NO,YES,False,YES,False
80,1130632,3a95f227-c270-4ad6-8417-f2ec392b7005.jpeg,0,Did the student correctly draw five dots in each row in their array?,YES,YES,True,YES,True
80,1130632,3a95f227-c270-4ad6-8417-f2ec392b7005.jpeg,1,Did the student correctly draw two rows in their array?,YES,YES,True,YES,True
80,1130632,3a95f227-c270-4ad6-8417-f2ec392b7005.jpeg,2,Did the student draw a rectangular array?,YES,YES,True,YES,True
81,1130632,3d491565-f8c8-48bf-91cd-10c0c737f514.jpeg,0,Did the student correctly draw five dots in each row in their array?,YES,YES,True,YES,True
81,1130632,3d491565-f8c8-48bf-91cd-10c0c737f514.jpeg,1,Did the student correctly draw two rows in their array?,YES,YES,True,YES,True
81,1130632,3d491565-f8c8-48bf-91cd-10c0c737f514.jpeg,2,Did the student draw a rectangular array?,YES,YES,True,YES,True
82,1130632,3e7c051f-ae26-4de3-9f1a-78c02bd9f503.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,NO,True,YES,False
82,1130632,3e7c051f-ae26-4de3-9f1a-78c02bd9f503.jpeg,1,Did the student correctly draw two rows in their array?,YES,YES,True,YES,True
82,1130632,3e7c051f-ae26-4de3-9f1a-78c02bd9f503.jpeg,2,Did the student draw a rectangular array?,YES,NO,False,YES,True
83,1130632,99c36717-4145-4c85-a496-609e3a106bfb.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,NO,True,YES,False
83,1130632,99c36717-4145-4c85-a496-609e3a106bfb.jpeg,1,Did the student correctly draw two rows in their array?,YES,YES,True,YES,True
83,1130632,99c36717-4145-4c85-a496-609e3a106bfb.jpeg,2,Did the student draw a rectangular array?,YES,YES,True,YES,True
84,1130632,a25d30d1-e9ac-4f95-8df8-44fc223797eb.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,YES,False,NO,True
84,1130632,a25d30d1-e9ac-4f95-8df8-44fc223797eb.jpeg,1,Did the student correctly draw two rows in their array?,NO,YES,False,YES,False
84,1130632,a25d30d1-e9ac-4f95-8df8-44fc223797eb.jpeg,2,Did the student draw a rectangular array?,NO,NO,True,NO,True
85,1130632,cd32ba0e-92b0-4206-8886-2fef8f956ed3.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,NO,True,YES,False
85,1130632,cd32ba0e-92b0-4206-8886-2fef8f956ed3.jpeg,1,Did the student correctly draw two rows in their array?,NO,YES,False,YES,False
85,1130632,cd32ba0e-92b0-4206-8886-2fef8f956ed3.jpeg,2,Did the student draw a rectangular array?,NO,NO,True,YES,False
86,1130632,d1fc81ea-fb41-4a15-b82b-9e28f731c0f0.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,NO,True,YES,False
86,1130632,d1fc81ea-fb41-4a15-b82b-9e28f731c0f0.jpeg,1,Did the student correctly draw two rows in their array?,NO,NO,True,YES,False
86,1130632,d1fc81ea-fb41-4a15-b82b-9e28f731c0f0.jpeg,2,Did the student draw a rectangular array?,YES,YES,True,YES,True
87,1130632,dff7d4b6-02ef-40bf-8c91-290da61e8e42.jpeg,0,Did the student correctly draw five dots in each row in their array?,YES,YES,True,YES,True
87,1130632,dff7d4b6-02ef-40bf-8c91-290da61e8e42.jpeg,1,Did the student correctly draw two rows in their array?,YES,YES,True,YES,True
87,1130632,dff7d4b6-02ef-40bf-8c91-290da61e8e42.jpeg,2,Did the student draw a rectangular array?,YES,YES,True,YES,True
88,1130632,f69ba77c-306d-41fc-9365-58424748b7bf.jpeg,0,Did the student correctly draw five dots in each row in their array?,NO,NO,True,NO,True
88,1130632,f69ba77c-306d-41fc-9365-58424748b7bf.jpeg,1,Did the student correctly draw two rows in their array?,NO,YES,False,NO,True
88,1130632,f69ba77c-306d-41fc-9365-58424748b7bf.jpeg,2,Did the student draw a rectangular array?,NO,YES,False,NO,True
89,1130648,3761f796-9c7d-431b-86e8-436e363384df.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,YES,YES,True,YES,True
90,1130648,3f268b62-59f8-447f-a5ac-4ff508210a2b.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,NO,NO,True,NO,True
91,1130648,4d876298-454e-44e0-9267-5bce7c9e411f.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,YES,NO,False,NO,False
92,1130648,52698222-a0bc-4b2a-8cdb-5168ba5e2570.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,YES,NO,False,NO,False
93,1130648,67abc859-7b32-4f97-ac16-cf49ae734668.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,NO,NO,True,YES,False
94,1130648,74f20c66-26eb-4445-ab67-20d999f95ffa.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,NO,NO,True,NO,True
95,1130648,98382d6c-efcf-4631-afca-00927d043323.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,NO,NO,True,NO,True
96,1130648,a318e406-88da-4ff7-87e0-d192cff29d61.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,NO,NO,True,YES,False
97,1130648,c7b27dff-4d26-4853-9d16-ea6452df3dde.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,YES,YES,True,YES,True
98,1130648,c7d6b338-e151-430b-ba3b-120db2b479bc.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,YES,YES,True,YES,True
99,1130648,cad91cf3-538c-4b0b-a5ea-f74a7c22bb41.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,YES,YES,True,YES,True
100,1130648,d114b635-a5dc-4f95-a1e6-36f5311f3f75.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,NO,NO,True,YES,False
101,1130648,f79044ce-3ed1-43d3-8e83-66e20e07020b.jpeg,0,Did the student correctly write 3x6=18 to describe the array?,YES,YES,True,YES,True
