Problem ID,Image Name,QA Teacher
1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""YES""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""YES""}, {""question"": ""Does the student label the magnitude of each arrow?"", ""answer"": ""NO""}]"
1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""YES""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""YES""}, {""question"": ""Did the student label the magnitude of each arrow on the number line diagram?"", ""answer"": ""NO""}, {""question"": ""Did the student use straight arrows or curved arrows to represent the sum of the integers on the number line diagram?"", ""answer"": ""NO""}]"
1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""YES""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""NO""}, {""question"": ""Did the student label the magnitude of each arrow?"", ""answer"": ""NO""}]"
1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""NO""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""NO""}, {""question"": ""Did the student label the magnitude of each arrow?"", ""answer"": ""NO""}]"
1065658,56005c1c-8182-423a-93cd-db884a59f7b0.png,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""NO""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""NO""}, {""question"": ""Did the student label the magnitude of each arrow on the number line?"", ""answer"": ""NO""}]"
1065658,80545ef3-0616-4318-8bc3-ce431ef79f9f.jpeg,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""NO""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""NO""}, {""question"": ""Does the depiction of each addend start at the end of the depiction of the previous addend?"", ""answer"": ""NO""}]"
1065658,8cbadb4e-42f0-43eb-abef-6c652c1d0542.jpeg,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""NO""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""YES""}, {""question"": ""Did the student label the magnitude of each addend on the number line?"", ""answer"": ""NO""}]"
1065658,8ef9d302-d398-405c-990c-b7e5c7cf3be4.png,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""YES""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""YES""}]"
1065658,a5c95313-cfb3-4455-8a8c-de8efcfc9847.png,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""NO""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""YES""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""NO""}, {""question"": ""Did the student label each addend on the number line?"", ""answer"": ""NO""}]"
1065658,b4214e02-e3fb-41ea-8339-a450fce2c071.png,"[{""question"": ""Did students label the number line correctly?"", ""answer"": ""YES""}, {""question"": ""Did students use arrows to indicate the direction of movement on the number line?"", ""answer"": ""YES""}, {""question"": ""Is the final answer clearly marked on the number line?"", ""answer"": ""YES""}]"
